Id	Text	Speaker	Action	OnScreen Characters	Background	Music
1	Yesterday was crazy. Wonder what will happen today. I don't think it will get as crazy as yesterday...	None		None	Black screen	Mute
	Besides the Italian cuisine class, I don't have any plans.	None		None	Black screen	
	In any case, I better be prepared. Who knows if I will find who prepared that Lasagna today during class?	None		None	Black screen	
	Well, nothing better than a shower to finish my waking up process!	None		None	My room	
	Uh?	None		None	My room	
	There's no water?	None		None	My room	
	Goddammit.	None		None	My room	
	Are we having a water shortage on the school? It's gonna be hard to cook Italian food without water.	None		None	My room	
	Which means: NO ONE WILL COOK LASAGNAS TODAY! SHIT!	None		None	My room	Routine
	I need to find out what's going on!	None		None	My room	
	[OPT] Go to the maintenance department	None	S3-2	None	My room	
	[OPT] Go to the school's shared bathroom to check the water there	None	S3-3	None	My room	
						
2	I walk towards... Towards where? I don't know where the maintenance department is.	None		None	School corridor	
	In fact, I don't even know if that is a thing... I better check the shared bathroom. Maybe the problem is only on my room...	None	S3-3	None	School corridor	
						
3	I walk towards the shared bathroom. The last time I've been here, I entered the ladies bathroom and found Rokuko.	None		None	School corridor	
	Weird that she never mentioned that.	None		None	School corridor	
	Her pie was delicious. If I find her again, I should ask for the recipe...	None		None	School corridor	
	...	None		None	School corridor	
	There's the bathroom. Now I'll make sure to enter the right one and...	None		None	School corridor	
	!!!	None		None	Bathroom	Mute
	"Rokuko!? What are you doing here?"	Hameru Tabe		None	Bathroom	Theme
	"What do you mean? I'm washing my face. There's a water shortage on the all boys dorms."	Rokuko		Rokuko - Neutral	Bathroom	
	"And that affects you?"	Hameru Tabe		Rokuko - Neutral	Bathroom	
	"How would it not?"	Rokuko		Rokuko - Suspicious	Bathroom	
	"Well... it only affects the boys dorms... And this is the boys bathroom, I made sure this time."	Hameru Tabe		Rokuko - Suspicious	Bathroom	
	"I don't follow."	Rokuko		Rokuko - Suspicious	Bathroom	
	"Well... you are a..."	Hameru Tabe		Rokuko - Suspicious	Bathroom	
	I stop mid-sentence and take a closer look to Rokuko's.	None		Rokuko - Angry	Bathroom	
	I think I'm stupid.	None		Rokuko - Angry	Bathroom	
	"Well, I'm a what?"	Rokuko		Rokuko - Angry	Bathroom	
	"Well... You are a guy. A dude. You have a penis, right. So you are on the right place. Don't mind me. My brain is still asleep."	Hameru Tabe		Rokuko - Angry	Bathroom	
	"Oh, I see. You thought I was a girl."	Rokuko		Rokuko - Embarrassed	Bathroom	
	"Me? Nooooooooooo! Nonono. You are clearly a dude."	Hameru Tabe		Rokuko - Embarrassed	Bathroom	
	"It's okay. I like looking like a girl."	Rokuko		Rokuko - Embarrassed	Bathroom	
	"It's okay?"	Hameru Tabe		Rokuko - Embarrassed	Bathroom	
	"Yeah, I'm even flattered. Thanks."	Rokuko		Rokuko - Happy	Bathroom	
	"Oh. Yes. I thought you were a girl. A beautiful one, as a matter of fact..."	Hameru Tabe		Rokuko - Happy	Bathroom	
	"Well, what would you do if I was, in fact, a beautiful girl instead of a dude who looks like a beautiful girl?"	Rokuko		Rokuko - Showing off	Bathroom	
	[OPT] "I would tell you you are in the wrong restroom. Because I've checked this time."	None	S3-4	Rokuko - Showing off	Bathroom	
	[OPT] "I would fall in love, probably."	None	S3-7	Rokuko - Showing off	Bathroom	
						
4	"I would tell you you are in the wrong restroom. Because I've checked this time."	Hameru Tabe		Rokuko - Showing off	Bathroom	
	"Should I leave then?"	Rokuko		Rokuko - Suspicious	Bathroom	
	"No!"	Hameru Tabe		Rokuko - Suspicious	Bathroom	
	"I'm leaving. Bye."	Rokuko		Rokuko - Suspicious	Bathroom	
	[OPT] "Don't leave. You're okay!"	None	S3-6	Rokuko - Suspicious	Bathroom	
	[OPT] Be quiet.	None	S3-5	Rokuko - Suspicious	Bathroom	
						
5	"Okay. Bye then."	Rokuko	SET R I	Rokuko - Neutral	Bathroom	
	...	None		None	Bathroom	
	Weird.	None		None	Bathroom	
	Anyway, the Italian class is happening then. I'll wash my face and go get ready to class then!	None	S3-8	None	Bathroom	
						
6	"Don't leave. You're okay!"	Hameru Tabe	SET R I	Rokuko - Suspicious	Bathroom	
	"I don't like okay."	Rokuko		Rokuko - Angry	Bathroom	
	"You're nice"	Hameru Tabe		Rokuko - Angry	Bathroom	
	"I don't like nice, nice is mediocre."	Rokuko		Rokuko - Angry	Bathroom	
	"Oh... Sorry. Can't we be friends?"	Hameru Tabe		Rokuko - Angry	Bathroom	
	"No, not really. I don't believe in friendship."	Rokuko		Rokuko - Angry	Bathroom	
	"Why that pie then?"	Hameru Tabe		Rokuko - Angry	Bathroom	
	"Don't be so dumb."	Rokuko		Rokuko - Neutral	Bathroom	
	"I think I've already proven today that I am pretty dumb..."	Hameru Tabe		Rokuko - Neutral	Bathroom	
	"That's no excuse. I'll be off now."	Rokuko		Rokuko - Neutral	Bathroom	
