Id	Text	Speaker	Action	OnScreen Characters	Background	Music
1		None		None	CG - Day 1 Completed!	Mute
	I wake up aroused and with stains on my pants. I dreamt with the Lasagna the whole night...	None		None	My room	
	I better take a shower to prepare myself to the class and...	None		None	My room	
	(Knock knock)	None		None	My room	
	Someone's at the door.	None		None	My room	
	I try to adjust my dick inside my pants so it doesn't look like I have a boner, then I open the door.	None		None	My room	
	"Morning. I baked you a pie."	Rokuko		Rokuko - Showing off	My room	Routine
	"What? Already? Wait.. did you spend the night baking this?"	Hameru Tabe		Rokuko - Showing off	My room	
	"No, I spent only half an hour preparing this. No biggies."	Rokuko		Rokuko - Showing off	My room	
	"Oh.. okay.. I wasn't expecting you to bring me food so early..."	Hameru Tabe		Rokuko - Showing off	My room	
	"You don't eat breakfast?"	Rokuko		Rokuko - Neutral	My room	
	"No, that's not it! Is just that we basically met yesterday..."	Hameru Tabe		Rokuko - Neutral	My room	
	"Well, you said you wanted to try my food."	Rokuko		Rokuko - Neutral	My room	
	"Yeah, but I meant eventually, not today!"	Hameru Tabe		Rokuko - Neutral	My room	
	"You don't want my pie then?"	Rokuko		Rokuko - Suspicious	My room	
	"Of course I do! It's just unexpected."	Hameru Tabe		Rokuko - Suspicious	My room	
	"Oh, I see your point. Well, I gotta go. Will you have it or not?"	Rokuko		Rokuko - Neutral	My room	
	"Sure, I was about to take a shower, you can leave it on the table over there."	Hameru Tabe		Rokuko - Neutral	My room	
	Did I mention my room has a table? Well, it has.	None		Rokuko - Neutral	My room	
	"Okay."	Rokuko		Rokuko - Neutral	My room	
	She enters my room with the pie, and I have a weird feeling about her. I just can't put my finger on it...	None		Rokuko - Neutral	My room	
	"Here it is then. See ya later, alligator!"	Rokuko		Rokuko - Neutral	My room	
	"Cya!"	Hameru Tabe		Rokuko - Neutral	My room	
	She leaves, I close the door and start undressing for my shower.	None		None	My room	
	As I remove my pants, I notice my dick getting hard again.	None		None	My room	
	What is going on?	None		None	My room	
	Is the pie doing this to me?	None		None	My room	
	I walk towards the table with my dick in my hand.	None		None	My room	
	I should eat a piece of the pie before anything else.	None		None	My room	
	It is already sliced, so I grab a piece and eat it.	None		None	My room	
	It tastes delicious.	None		None	My room	
	Think I never ate anything as good as this.	None		None	My room	
